,index,f1,pr,re
0,12,0.242174771,0.454833333,0.177068908
1,14,0.254916696,0.432678571,0.195173054
2,16,0.263120182,0.41075,0.210235111
3,18,0.269449671,0.391666667,0.224115581
4,20,0.273593299,0.373775,0.236657255
5,22,0.27754615,0.359340909,0.248955976
6,24,0.280158186,0.345979167,0.260036603
7,26,0.282276919,0.334211538,0.270809013
8,28,0.283809034,0.323339286,0.281139712
9,30,0.28433,0.312983333,0.290217361
10,32,0.284773236,0.303828125,0.299291852
11,34,0.284750216,0.295338235,0.307699212
12,36,0.283652955,0.286638889,0.31483126
13,38,0.282657549,0.278881579,0.321859204
14,40,0.281257406,0.2714,0.328347895
15,42,0.279682352,0.264416667,0.334477124
16,44,0.2777697,0.257590909,0.3401803
17,46,0.275328139,0.250836957,0.344927799
18,48,0.272841552,0.24440625,0.349606347
19,50,0.270310589,0.23833,0.354026364
20,52,0.267225372,0.232125,0.357554247
21,54,0.264303604,0.22637963,0.361184429
22,56,0.260747326,0.220357143,0.363732807
23,58,0.257649523,0.214991379,0.36673796
24,60,0.254122793,0.209541667,0.36881089
25,62,0.250635982,0.204290323,0.370875187
26,64,0.247104329,0.199226563,0.3726189
27,66,0.243547501,0.194318182,0.374152336
28,68,0.239980062,0.189551471,0.375494633
29,70,0.236351197,0.184885714,0.376597252
30,72,0.23267745,0.180326389,0.37741116
31,74,0.229150953,0.17602027,0.378267843
32,76,0.225674684,0.171868421,0.379010712
33,78,0.222222124,0.167852564,0.379598342
34,80,0.218783872,0.16395,0.380040127
35,82,0.21541706,0.16020122,0.380403984
36,84,0.21212798,0.156595238,0.3807255
37,86,0.208946695,0.153156977,0.381051031
38,88,0.205862906,0.149863636,0.381386553
